No.,Time,Source,Destination,Protocol,Length,Info
1,0.022436999999968066,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=1561999 Ack=26964169 Win=65535 Len=0
1,0.05177800000001298,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.09591199999999844,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=27083377 Ack=1566025 Win=65535 Len=0
1,0.11320999999998094,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.11328900000000885,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=27083377 Ack=1566561 Win=65535 Len=0
1,0.13727800000003754,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.13744199999996454,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=26964169 Ack=1562535 Win=65535 Len=0
1,0.23399499999993623,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.23408699999993132,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=27083377 Ack=1567097 Win=65535 Len=0
1,0.23456399999997757,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.23467300000004343,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1567097 Ack=27083913 Win=65535 Len=0
1,0.3271549999999479,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.32723199999998087,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=1562535 Ack=26964705 Win=65535 Len=0
1,0.3276419999999689,10.0.2.15,54.93.77.70,TLSv1.2,1618,Application Data
1,0.32775900000001457,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=26964705 Ack=1563995 Win=65535 Len=0
1,0.32777199999998174,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=26964705 Ack=1564099 Win=65535 Len=0
1,0.9114339999999856,62.210.85.178,10.0.2.15,TLSv1.2,1618,Application Data
1,0.9116030000000137,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=27083913 Ack=1568661 Win=65535 Len=0
1,0.9253569999999627,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.9259270000000015,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1568661 Ack=27084449 Win=65535 Len=0
1,0.9371449999999868,10.0.2.15,62.210.85.178,TLSv1.2,1618,Application Data
1,0.9373339999999644,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1568661 Ack=27085909 Win=65535 Len=0
1,0.9373590000000149,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1568661 Ack=27086013 Win=65535 Len=0
1,1.1155919999999924,54.93.77.70,10.0.2.15,TLSv1.2,2132,Application Data
1,1.115733999999975,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=1564099 Ack=26966783 Win=65535 Len=0
1,1.1185409999999365,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.118739000000005,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=26966783 Ack=1564635 Win=65535 Len=0
1,1.213679999999954,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.2140520000000379,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.2141860000000406,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1569197 Ack=27086549 Win=65535 Len=0
1,1.7460579999999482,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,1.7464370000000145,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.7465369999999893,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=26967319 Ack=1565171 Win=65535 Len=0
1,1.8622799999999415,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.8656839999999875,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.8658430000000408,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1569733 Ack=27087085 Win=65535 Len=0
1,1.8777089999999816,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.8778089999999565,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=27091155 Ack=1569733 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,1.8778499999999667,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1569733 Ack=27088545 Win=65535 Len=0
1,1.877862999999934,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1569733 Ack=27090005 Win=65535 Len=0
1,1.8778670000000375,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1569733 Ack=27091155 Win=65535 Len=0
1,1.87787000000003,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1569733 Ack=27092615 Win=65535 Len=0
1,1.8778730000000223,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1569733 Ack=27094075 Win=65535 Len=0
1,1.877907999999934,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,1.8779419999999618,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1569733 Ack=27095225 Win=65535 Len=0
1,1.8779869999999619,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.8780229999999847,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1569733 Ack=27096685 Win=65535 Len=0
1,1.878029999999967,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1569733 Ack=27098145 Win=65535 Len=0
1,1.878033999999957,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1569733 Ack=27099295 Win=65535 Len=0
1,1.8780709999999772,10.0.2.15,62.210.85.178,TLSv1.2,1296,Application Data
1,1.8781060000000025,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1569733 Ack=27100537 Win=65535 Len=0
1,2.037755999999945,54.93.77.70,10.0.2.15,TCP,2950,"9001  >  34692 [PSH, ACK] Seq=26967319 Ack=1565171 Win=65535 Len=2896 [TCP segment of a reassembled PDU]"
1,2.037904000000026,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=1565171 Ack=26970215 Win=65535 Len=0
1,2.04081599999995,54.93.77.70,10.0.2.15,TLSv1.2,778,Application Data
1,2.043611999999939,54.93.77.70,10.0.2.15,TLSv1.2,4398,Application Data
1,2.04376400000001,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=1565171 Ack=26975283 Win=65535 Len=0
1,2.058149999999955,54.93.77.70,10.0.2.15,TLSv1.2,380,Application Data
1,2.099899999999934,54.93.77.70,10.0.2.15,TLSv1.2,3674,Application Data
1,2.099978999999962,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=1565171 Ack=26979229 Win=65535 Len=0
1,2.121336000000042,54.93.77.70,10.0.2.15,TLSv1.2,1618,Application Data
1,2.1214049999999816,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=1565171 Ack=26980793 Win=65535 Len=0
1,2.1217639999999847,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,2.1218850000000202,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=26980793 Ack=1565707 Win=65535 Len=0
1,2.1317090000000007,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,2.131894999999986,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=26980793 Ack=1566243 Win=65535 Len=0
1,2.208521000000019,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,2.2488899999999603,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=1566243 Ack=26981329 Win=65535 Len=0
1,2.447377999999958,62.210.85.178,10.0.2.15,TLSv1.2,1104,Application Data
1,2.447985000000017,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,2.4481419999999616,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1570783 Ack=27101073 Win=65535 Len=0
1,3.370531000000028,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,3.370627000000013,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=1566243 Ack=26981865 Win=65535 Len=0
1,3.3710680000000366,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,3.3712050000000318,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=26981865 Ack=1566779 Win=65535 Len=0
1,3.67641100000003,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,3.68253500000003,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,3.6827029999999468,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27101609 Win=65535 Len=0
1,3.698044999999979,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,3.6981550000000425,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=27105679 Ack=1571319 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,3.698203000000035,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27103069 Win=65535 Len=0
1,3.6982150000000047,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27104529 Win=65535 Len=0
1,3.698219999999992,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27105679 Win=65535 Len=0
1,3.698225999999977,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27107139 Win=65535 Len=0
1,3.6982289999999693,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27108599 Win=65535 Len=0
1,3.698264999999992,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,3.6983000000000175,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27109749 Win=65535 Len=0
1,3.698350000000005,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,3.698409999999967,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27111209 Win=65535 Len=0
1,3.6984209999999393,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27112669 Win=65535 Len=0
1,3.6984239999999318,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27113819 Win=65535 Len=0
1,3.6984599999999546,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,3.698492999999985,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27115279 Win=65535 Len=0
1,3.6984999999999673,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27116739 Win=65535 Len=0
1,3.698558999999932,10.0.2.15,62.210.85.178,TLSv1.2,2974,Application Data
1,3.698594999999955,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27117889 Win=65535 Len=0
1,3.6986029999999346,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27119349 Win=65535 Len=0
1,3.6986060000000407,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27120809 Win=65535 Len=0
1,3.6986329999999725,10.0.2.15,62.210.85.178,TLSv1.2,1226,Application Data
1,3.698666000000003,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27121981 Win=65535 Len=0
1,3.698705000000018,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,3.6987400000000434,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27123441 Win=65535 Len=0
1,3.6987470000000258,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27124901 Win=65535 Len=0
1,3.698750000000018,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27126051 Win=65535 Len=0
1,3.698786000000041,10.0.2.15,62.210.85.178,TLSv1.2,3030,Application Data
1,3.6988229999999476,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27127511 Win=65535 Len=0
1,3.69882999999993,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27128971 Win=65535 Len=0
1,3.698833000000036,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27129027 Win=65535 Len=0
1,3.7080680000000257,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,3.708163000000013,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27130487 Win=65535 Len=0
1,3.708174999999983,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27131947 Win=65535 Len=0
1,3.7081779999999753,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27133097 Win=65535 Len=0
1,3.708215999999993,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,3.708274999999958,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27134557 Win=65535 Len=0
1,3.70828199999994,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27136017 Win=65535 Len=0
1,3.7082849999999326,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27137167 Win=65535 Len=0
1,3.7083209999999553,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,3.708354999999983,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27138627 Win=65535 Len=0
1,3.7083619999999655,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27140087 Win=65535 Len=0
1,3.708366999999953,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27141237 Win=65535 Len=0
1,3.7084029999999757,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,3.7084370000000035,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=1571319 Ack=27142697 Win=65535 Len=0
